Date,Currency Conversions US$ Exchange Rate
1960-01-01,0.361903045
1960-02-01,0.361511185
1960-03-01,0.361250346
1960-04-01,0.361250346
1960-05-01,0.361336891
1960-06-01,0.361271982
1960-07-01,0.361185436
1960-08-01,0.361185436
1960-09-01,0.361185436
1960-10-01,0.361185436
1960-11-01,0.361163199
1960-12-01,0.361141562
1961-01-01,0.361293618
1961-02-01,0.36109829
1961-03-01,0.36109829
1961-04-01,0.361119926
1961-05-01,0.36109829
1961-06-01,0.36109829
1961-07-01,0.36109829
1961-08-01,0.36109829
1961-09-01,0.36109829
1961-10-01,0.36109829
1961-11-01,0.36109829
1961-12-01,0.360990107
1962-01-01,0.360968471
1962-02-01,0.360968471
1962-03-01,0.360946834
1962-04-01,0.360946834
1962-05-01,0.360946834
1962-06-01,0.360946834
1962-07-01,0.360946834
1962-08-01,0.360946834
1962-09-01,0.360773142
1962-10-01,0.360729869
1962-11-01,0.360708233
1962-12-01,0.36066496
1963-01-01,0.360643323
1963-02-01,0.36066496
1963-03-01,0.360729869
1963-04-01,0.360686596
1963-05-01,0.360686596
1963-06-01,0.360686596
1963-07-01,0.360686596
1963-08-01,0.36066496
1963-09-01,0.36066496
1963-10-01,0.36066496
1963-11-01,0.360643323
1963-12-01,0.360621687
1964-01-01,0.360643323
1964-02-01,0.36066496
1964-03-01,0.360686596
1964-04-01,0.36066496
1964-05-01,0.36066496
1964-06-01,0.360686596
1964-07-01,0.360686596
1964-08-01,0.360708233
1964-09-01,0.360729869
1964-10-01,0.360708233
1964-11-01,0.360643323
1964-12-01,0.360621687
1965-01-01,0.360643323
1965-02-01,0.360643323
1965-03-01,0.360686596
1965-04-01,0.361336891
1965-05-01,0.360708233
1965-06-01,0.360708233
1965-07-01,0.360708233
1965-08-01,0.360794778
1965-09-01,0.360708233
1965-10-01,0.360794778
1965-11-01,0.360816415
1965-12-01,0.360686596
1966-01-01,0.360729869
1966-02-01,0.360751506
1966-03-01,0.360773142
1966-04-01,0.360773142
1966-05-01,0.360751506
1966-06-01,0.360794778
1966-07-01,0.360859688
1966-08-01,0.361207073
1966-09-01,0.361207073
1966-10-01,0.361163199
1966-11-01,0.361228709
1966-12-01,0.361228709
1967-01-01,0.361271982
1967-02-01,0.361315255
1967-03-01,0.361336891
1967-04-01,0.361380765
1967-05-01,0.361380765
1967-06-01,0.361359129
1967-07-01,0.361315255
1967-08-01,0.361250346
1967-09-01,0.361185436
1967-10-01,0.361293618
1967-11-01,0.379642518
1967-12-01,0.422177948
1968-01-01,0.422177948
1968-02-01,0.422325797
1968-03-01,0.421349152
1968-04-01,0.420788408
1968-05-01,0.420788408
1968-06-01,0.420906206
1968-07-01,0.420817857
1968-08-01,0.420758958
1968-09-01,0.420817857
1968-10-01,0.420817857
1968-11-01,0.420847307
1968-12-01,0.420906206
1969-01-01,0.420935656
1969-02-01,0.420906206
1969-03-01,0.420965105
1969-04-01,0.421142404
1969-05-01,0.421408051
1969-06-01,0.42146695
1969-07-01,0.421260202
1969-08-01,0.420965105
1969-09-01,0.420994555
1969-10-01,0.421408051
1969-11-01,0.421822148
1969-12-01,0.422355847
1970-01-01,0.421851598
1970-02-01,0.421289652
1970-03-01,0.421230753
1970-04-01,0.421053454
1970-05-01,0.420876756
1970-06-01,0.42064116
1970-07-01,0.420582261
1970-08-01,0.420582261
1970-09-01,0.420670609
1970-10-01,0.420582261
1970-11-01,0.420582261
1970-12-01,0.420582261
1971-01-01,0.420582261
1971-02-01,0.420582261
1971-03-01,0.420582261
1971-04-01,0.420552811
1971-05-01,0.420552811
1971-06-01,0.420582261
1971-07-01,0.420523361
1971-08-01,0.419261837
1971-09-01,0.416935319
1971-10-01,0.415723679
1971-11-01,0.413549818
1971-12-01,0.40548664
1972-01-01,0.396393927
1972-02-01,0.396184775
1972-03-01,0.391054536
1972-04-01,0.388075319
1972-05-01,0.387949707
1972-06-01,0.387524792
1972-07-01,0.381497842
1972-08-01,0.381546524
1972-09-01,0.381497842
1972-10-01,0.381595206
1972-11-01,0.381522484
1972-12-01,0.381522484
1973-01-01,0.381530297
1973-02-01,0.365201399
1973-03-01,0.346993136
1973-04-01,0.348851466
1973-05-01,0.348253459
1973-06-01,0.348561177
1973-07-01,0.345561526
1973-08-01,0.341830442
1973-09-01,0.341043117
1973-10-01,0.341518517
1973-11-01,0.343454978
1973-12-01,0.341828639
1974-01-01,0.348404313
1974-02-01,0.354414434
1974-03-01,0.354790066
1974-04-01,0.35149652
1974-05-01,0.345048261
1974-06-01,0.344193622
1974-07-01,0.34260695
1974-08-01,0.343798757
1974-09-01,0.346583847
1974-10-01,0.345049463
1974-11-01,0.343056507
1974-12-01,0.337662424
1975-01-01,0.337471302
1975-02-01,0.337544625
1975-03-01,0.335180845
1975-04-01,0.338124001
1975-05-01,0.33578967
1975-06-01,0.335285421
1975-07-01,0.344268749
1975-08-01,0.350638275
1975-09-01,0.355223997
1975-10-01,0.355839434
1975-11-01,0.356005914
1975-12-01,0.358461649
1976-01-01,0.358845696
1976-02-01,0.38926953
1976-03-01,0.40217927
1976-04-01,0.404357939
1976-05-01,0.406519779
1976-06-01,0.408257906
1976-07-01,0.408861923
1976-08-01,0.410324787
1976-09-01,0.407998269
1976-10-01,0.409098121
1976-11-01,0.41080139
1976-12-01,0.410694409
1977-01-01,0.412214369
1977-02-01,0.415171349
1977-03-01,0.413479499
1977-04-01,0.413210847
1977-05-01,0.414637049
1977-06-01,0.416988809
1977-07-01,0.485129759
1977-08-01,0.508717681
1977-09-01,0.508250093
1977-10-01,0.505162093
1977-11-01,0.498406116
1977-12-01,0.490702944
1978-01-01,0.485323284
1978-02-01,0.484564206
1978-03-01,0.481193129
1978-04-01,0.481398675
1978-05-01,0.488048874
1978-06-01,0.477447021
1978-07-01,0.466700323
1978-08-01,0.450319738
1978-09-01,0.441627901
1978-10-01,0.42033825
1978-11-01,0.427491496
1978-12-01,0.427071388
1979-01-01,0.420197613
1979-02-01,0.416307261
1979-03-01,0.414731408
1979-04-01,0.409509815
1979-05-01,0.39713197
1979-06-01,0.397163824
1979-07-01,0.397684901
1979-08-01,0.397189667
1979-09-01,0.397010566
1979-10-01,0.397420456
1979-11-01,0.399188033
1979-12-01,0.399494549
1980-01-01,0.397299052
1980-02-01,0.400188117
1980-03-01,0.416068059
1980-04-01,0.431429327
1980-05-01,0.426418689
1980-06-01,0.421201904
1980-07-01,0.425107882
1980-08-01,0.434941642
1980-09-01,0.4403207
1980-10-01,0.446792999
1980-11-01,0.458800019
1980-12-01,0.474104191
1981-01-01,0.483766663
1981-02-01,0.515054151
1981-03-01,0.515839073
1981-04-01,0.526384431
1981-05-01,0.548745688
1981-06-01,0.567972666
1981-07-01,0.586488046
1981-08-01,0.602179871
1981-09-01,0.577128484
1981-10-01,0.575929465
1981-11-01,0.573198466
1981-12-01,0.581404084
1982-01-01,0.58994086
1982-02-01,0.604261777
1982-03-01,0.627346652
1982-04-01,0.637762192
1982-05-01,0.617870494
1982-06-01,0.655936197
1982-07-01,0.670312406
1982-08-01,0.673048213
1982-09-01,0.679099804
1982-10-01,0.691491472
1982-11-01,0.714935151
1982-12-01,0.757024629
1983-01-01,0.761207674
1983-02-01,0.780111908
1983-03-01,0.801423798
1983-04-01,0.817139663
1983-05-01,0.828141791
1983-06-01,0.862102581
1983-07-01,0.888429916
1983-08-01,0.910460015
1983-09-01,0.913519166
1983-10-01,0.90899054
1983-11-01,0.93025555
1983-12-01,0.949290205
1984-01-01,0.960886733
1984-02-01,0.927662183
1984-03-01,0.898942219
1984-04-01,0.902119169
1984-05-01,0.924957629
1984-06-01,0.929905761
1984-07-01,0.969172286
1984-08-01,0.987938288
1984-09-01,1.02136598
1984-10-01,1.034143498
1984-11-01,1.008240477
1984-12-01,1.031915546
1985-01-01,1.051410575
1985-02-01,1.090963182
1985-03-01,1.103716058
1985-04-01,1.034669383
1985-05-01,1.051100453
1985-06-01,1.049039583
1985-07-01,1.00926941
1985-08-01,0.985677281
1985-09-01,1.012353203
1985-10-01,0.973234527
1985-11-01,0.965571022
1985-12-01,0.937747166
1986-01-01,0.918018944
1986-02-01,0.886976669
1986-03-01,0.855957833
1986-04-01,0.864774681
1986-05-01,0.848238434
1986-06-01,0.859489981
1986-07-01,0.826872453
1986-08-01,0.805815994
1986-09-01,0.805517291
1986-10-01,0.797686704
1986-11-01,0.816753212
1986-12-01,0.808507326
1987-01-01,0.777867128
1987-02-01,0.771744618
1987-03-01,0.773808494
1987-04-01,0.762978856
1987-05-01,0.751378722
1987-06-01,0.758503119
1987-07-01,0.762739053
1987-08-01,0.756084647
1987-09-01,0.728956763
1987-10-01,0.71499405
1987-11-01,0.682108471
1987-12-01,0.667194355
1988-01-01,0.675474499
1988-02-01,0.686479031
1988-03-01,0.675399373
1988-04-01,0.665826452
1988-05-01,0.674029065
1988-06-01,0.698570192
1988-07-01,0.734454822
1988-08-01,0.745336146
1988-09-01,0.746429988
1988-10-01,0.723837943
1988-11-01,0.691748705
1988-12-01,0.682812857
1989-01-01,0.689970911
1989-02-01,0.695318717
1989-03-01,0.69840251
1989-04-01,0.698286514
1989-05-01,0.732635558
1989-06-01,0.761222699
1989-07-01,0.715467648
1989-08-01,0.724454582
1989-09-01,0.734611085
1989-10-01,0.713605111
1989-11-01,0.699891217
1989-12-01,0.675156564
1990-01-01,0.659220728
1990-02-01,0.650891301
1990-03-01,0.65725061
1990-04-01,0.64358059
1990-05-01,0.624555552
1990-06-01,0.624835623
1990-07-01,0.604366353
1990-08-01,0.583701153
1990-09-01,0.591650139
1990-10-01,0.575063407
1990-11-01,0.564709771
1990-12-01,0.572420757
1991-01-01,0.572129266
1991-02-01,0.556564855
1991-03-01,0.598753501
1991-04-01,0.632276754
1991-05-01,0.639509334
1991-06-01,0.669342373
1991-07-01,0.673099299
1991-08-01,0.655075547
1991-09-01,0.640197493
1991-10-01,0.640632625
1991-11-01,0.616382388
1991-12-01,0.601798829
1992-01-01,0.601509141
1992-02-01,0.611370548
1992-03-01,0.629674372
1992-04-01,0.623784453
1992-05-01,0.608914212
1992-06-01,0.595485798
1992-07-01,0.570224057
1992-08-01,0.560347625
1992-09-01,0.585830539
1992-10-01,0.634583439
1992-11-01,0.684135083
1992-12-01,0.679317971
1993-01-01,0.689306793
1993-02-01,0.706210258
1993-03-01,0.70731612
1993-04-01,0.694334259
1993-05-01,0.726574952
1993-06-01,0.762019641
1993-07-01,0.807946582
1993-08-01,0.833726395
1993-09-01,0.785164016
1993-10-01,0.794689457
1993-11-01,0.825603717
1993-12-01,0.844044571
1994-01-01,0.859696128
1994-02-01,0.848759511
1994-03-01,0.834466241
1994-04-01,0.830167202
1994-05-01,0.821563112
1994-06-01,0.807623839
1994-07-01,0.777234262
1994-08-01,0.780513385
1994-09-01,0.773710529
1994-10-01,0.75940644
1994-11-01,0.773219502
1994-12-01,0.795066292
1995-01-01,0.796994939
1995-02-01,0.784318392
1995-03-01,0.772564398
1995-04-01,0.747296648
1995-05-01,0.74044511
1995-06-01,0.731060907
1995-07-01,0.71973303
1995-08-01,0.741126056
1995-09-01,0.754568894
1995-10-01,0.736521102
1995-11-01,0.731450963
1995-12-01,0.736430349
1996-01-01,0.740448716
1996-02-01,0.742353924
1996-03-01,0.747754619
1996-04-01,0.755037683
1996-05-01,0.771801113
1996-06-01,0.774247833
1996-07-01,0.763407979
1996-08-01,0.755579796
1996-09-01,0.763015518
1996-10-01,0.773095092
1996-11-01,0.764674913
1996-12-01,0.785713341
1997-01-01,0.809976801
1997-02-01,0.852825959
1997-03-01,0.864215138
1997-04-01,0.868265359
1997-05-01,0.865007873
1997-06-01,0.877084009
1997-07-01,0.907242797
1997-08-01,0.93450711
1997-09-01,0.906789033
1997-10-01,0.890740207
1997-11-01,0.879355234
1997-12-01,0.903454618
1998-01-01,0.925245513
1998-02-01,0.924355415
1998-03-01,0.929943024
1998-04-01,0.925734737
1998-05-01,0.905647711
1998-06-01,0.914120779
1998-07-01,0.917154087
1998-08-01,0.912198142
1998-09-01,0.869464979
1998-10-01,0.836810188
1998-11-01,0.859020591
1998-12-01,0.853733487
1999-01-01,0.861525983
1999-02-01,0.892379755
1999-03-01,0.918689368
1999-04-01,0.934341146
1999-05-01,0.940912394
1999-06-01,0.963638732
1999-07-01,0.9662252
1999-08-01,0.943567538
1999-09-01,0.950979648
1999-10-01,0.933960848
1999-11-01,0.968291072
1999-12-01,0.988243094
2000-01-01,0.986599655
2000-02-01,1.01583126
2000-03-01,1.036268814
2000-04-01,1.057506551
2000-05-01,1.101908306
2000-06-01,1.052983719
2000-07-01,1.065410933
2000-08-01,1.105938163
2000-09-01,1.148397448
2000-10-01,1.171642344
2000-11-01,1.167818407
2000-12-01,1.110847241
2001-01-01,1.06510992
2001-02-01,1.085381439
2001-03-01,1.101013948
2001-04-01,1.118874966
2001-05-01,1.143491682
2001-06-01,1.170881467
2001-07-01,1.160932857
2001-08-01,1.108593629
2001-09-01,1.095831356
2001-10-01,1.103848734
2001-11-01,1.125723077
2001-12-01,1.119889985
2002-01-01,1.132910866
2002-02-01,1.148525702
2002-03-01,1.140762389
2002-04-01,1.127685573
2002-05-01,1.089120317
2002-06-01,1.045430445
2002-07-01,1.008349302
2002-08-01,1.022466761
2002-09-01,1.018930549
2002-10-01,1.018557637
2002-11-01,0.998391457
2002-12-01,0.981650596
2003-01-01,0.94040941
2003-02-01,0.92759539
2003-03-01,0.926530917
2003-04-01,0.919937205
2003-05-01,0.864283957
2003-06-01,0.856876062
2003-07-01,0.879662636
2003-08-01,0.896928097
2003-09-01,0.888519457
2003-10-01,0.854685546
2003-11-01,0.8534179
2003-12-01,0.813112024
2004-01-01,0.792752348
2004-02-01,0.791426784
2004-03-01,0.815533225
2004-04-01,0.833518721
2004-05-01,0.832421513
2004-06-01,0.823177726
2004-07-01,0.815449971
2004-08-01,0.820285111
2004-09-01,0.817896862
2004-10-01,0.801076715
2004-11-01,0.769368549
2004-12-01,0.745437607
2005-01-01,0.762809683
2005-02-01,0.767651335
2005-03-01,0.758813429
2005-04-01,0.772679617
2005-05-01,0.78851212
2005-06-01,0.822577741
2005-07-01,0.829936079
2005-08-01,0.81339321
2005-09-01,0.816693507
2005-10-01,0.831279693
2005-11-01,0.847904099
2005-12-01,0.843182468
2006-01-01,0.825230609
2006-02-01,0.837559901
2006-03-01,0.831187266
2006-04-01,0.814195396
2006-05-01,0.782905714
2006-06-01,0.789752017
2006-07-01,0.787832116
2006-08-01,0.780600743
2006-09-01,0.785348419
2006-10-01,0.792279805
2006-11-01,0.775805355
2006-12-01,0.757669309
2007-01-01,0.769205027
2007-02-01,0.764165333
2007-03-01,0.75475791
2007-04-01,0.740196535
2007-05-01,0.74015873
2007-06-01,0.7450341
2007-07-01,0.728967982
2007-08-01,0.734198174
2007-09-01,0.718849564
2007-10-01,0.702778641
2007-11-01,0.680739905
2007-12-01,0.686773226
2008-01-01,0.679666196
2008-02-01,0.678629145
2008-03-01,0.644097591
2008-04-01,0.635092954
2008-05-01,0.642545455
2008-06-01,0.642904762
2008-07-01,0.634608696
2008-08-01,0.669
2008-09-01,0.697045455
2008-10-01,0.753347826
2008-11-01,0.7861
2008-12-01,0.74475
2009-01-01,0.7583
2009-02-01,0.78065
2009-03-01,0.766863636
2009-04-01,0.757409091
2009-05-01,0.731952381
2009-06-01,0.713568182
2009-07-01,0.709826087
2009-08-01,0.701
2009-09-01,0.686454545
2009-10-01,0.675
2009-11-01,0.670233333
2009-12-01,0.686347826
2010-01-01,0.700142857
2010-02-01,0.73085
2010-03-01,0.737
2010-04-01,0.746545455
2010-05-01,0.795428571
2010-06-01,0.818954545
