Date,Economic Policy Uncertainty Index
2006-01-01,80.97429
2006-02-01,44.47036
2006-03-01,85.2628
2006-04-01,50.4977
2006-05-01,91.51164
2006-06-01,74.43009
2006-07-01,73.43398
2006-08-01,42.75213
2006-09-01,40.59194
2006-10-01,57.94781
2006-11-01,64.62189
2006-12-01,52.11736
2007-01-01,33.97538
2007-02-01,23.31752
2007-03-01,41.88373
2007-04-01,35.20517
2007-05-01,34.04615
2007-06-01,39.64413
2007-07-01,42.00608
2007-08-01,76.18294
2007-09-01,178.95871
2007-10-01,68.95203
2007-11-01,58.10637
2007-12-01,81.57664
2008-01-01,129.9138
2008-02-01,119.0305
2008-03-01,100.89396
2008-04-01,92.03775
2008-05-01,57.07178
2008-06-01,85.61047
2008-07-01,70.77664
2008-08-01,78.42801
2008-09-01,126.78448
2008-10-01,140.95126
2008-11-01,119.7325
2008-12-01,66.90203
2009-01-01,95.44642
2009-02-01,110.52938
2009-03-01,89.28049
2009-04-01,62.79237
2009-05-01,57.232
2009-06-01,64.30874
2009-07-01,54.37478
2009-08-01,63.11213
2009-09-01,89.8889
2009-10-01,70.37999
2009-11-01,83.55393
2009-12-01,74.96387
2010-01-01,136.53505
2010-02-01,104.34798
2010-03-01,83.57967
2010-04-01,107.8927
2010-05-01,162.26521
2010-06-01,130.7988
2010-07-01,130.47673
2010-08-01,158.80504
2010-09-01,114.10545
2010-10-01,72.41766
2010-11-01,133.34261
2010-12-01,118.32117
2011-01-01,120.28455
2011-02-01,61.84259
2011-03-01,106.34845
2011-04-01,161.90646
2011-05-01,98.41831
2011-06-01,139.96864
2011-07-01,185.04527
2011-08-01,183.2415
2011-09-01,192.51479
2011-10-01,103.96207
2011-11-01,181.49788
2011-12-01,102.09707
2012-01-01,133.00009
2012-02-01,130.87051
2012-03-01,154.32742
2012-04-01,187.69756
2012-05-01,172.19693
2012-06-01,200.25986
2012-07-01,106.84735
2012-08-01,108.70837
2012-09-01,165.15337
2012-10-01,135.09567
2012-11-01,107.88867
2012-12-01,131.57098
2013-01-01,119.64531
2013-02-01,80.58384
2013-03-01,189.02257
2013-04-01,124.01375
2013-05-01,75.45863
2013-06-01,112.61512
2013-07-01,87.57661
2013-08-01,76.76525
2013-09-01,143.33481
2013-10-01,147.51611
2013-11-01,66.08608
2013-12-01,106.25755
2014-01-01,119.88055
2014-02-01,111.67539
2014-03-01,61.9499
2014-04-01,78.97717
2014-05-01,95.90201
2014-06-01,88.37529
2014-07-01,59.81514
2014-08-01,89.23256
2014-09-01,107.06515
2014-10-01,112.00696
2014-11-01,120.05309
2014-12-01,129.95251
2015-01-01,144.16118
2015-02-01,97.26574
2015-03-01,75.97636
2015-04-01,145.75966
2015-05-01,71.11996
2015-06-01,118.88248
2015-07-01,86.44163
2015-08-01,104.77473
2015-09-01,134.9765
2015-10-01,144.22726
2015-11-01,103.76202
2015-12-01,160.60744
2016-01-01,276.35989
2016-02-01,226.05798
2016-03-01,124.94788
2016-04-01,177.81645
2016-05-01,146.10414
2016-06-01,265.2056
2016-07-01,172.03854
2016-08-01,89.16914
2016-09-01,120.58894
2016-10-01,145.93736
2016-11-01,225.259
2016-12-01,168.20746
2017-01-01,178.5695
2017-02-01,106.14716
2017-03-01,128.62674
2017-04-01,152.61662
2017-05-01,51.34225
2017-06-01,104.0022
2017-07-01,60.90995
2017-08-01,42.25958
2017-09-01,75.14587
2017-10-01,282.24796
2017-11-01,170.10043
2017-12-01,116.4923
2018-01-01,122.71491
2018-02-01,112.3299
2018-03-01,130.56093
2018-04-01,74.0253
2018-05-01,155.57983
2018-06-01,127.33984
2018-07-01,102.05101
2018-08-01,73.52571
2018-09-01,64.67413
2018-10-01,132.8251
2018-11-01,156.25307
2018-12-01,138.21526
2019-01-01,131.97443
2019-02-01,99.71838
2019-03-01,124.91249
2019-04-01,146.16953
2019-05-01,72.53942
2019-06-01,147.69423
2019-07-01,114.53092
2019-08-01,161.16559
2019-09-01,226.46523
2019-10-01,166.65565
2019-11-01,163.58847
2019-12-01,156.24091
2020-01-01,95.31673
2020-02-01,94.25573
2020-03-01,246.82248
2020-04-01,187.67249
2020-05-01,175.46278
2020-06-01,156.52803
2020-07-01,146.591
2020-08-01,152.85995
2020-09-01,206.87622
2020-10-01,198.72893
2020-11-01,155.94669
2020-12-01,181.13722
2021-01-01,145.95522
2021-02-01,126.63815
2021-03-01,116.82867
2021-04-01,114.83253
2021-05-01,99.31685
2021-06-01,92.59266
2021-07-01,120.40512
2021-08-01,92.0234
2021-09-01,114.69096
2021-10-01,124.52419
2021-11-01,141.15619
2021-12-01,123.90446
2022-01-01,147.94591
2022-02-01,111.4485
2022-03-01,180.63831
2022-04-01,147.64357
2022-05-01,168.22247
2022-06-01,175.44934
2022-07-01,202.77797
2022-08-01,138.13104
2022-09-01,195.26952
2022-10-01,261.40778
2022-11-01,124.02775
2022-12-01,146.53557
2023-01-01,159.70546
2023-02-01,110.74117
2023-03-01,170.69412
2023-04-01,84.98883
2023-05-01,134.03751
2023-06-01,124.39638
