Date,Production Construction Total
2006-01-01,190.2512061
2006-02-01,187.9554151
2006-03-01,188.1550491
2006-04-01,192.8464482
2006-05-01,192.8464482
2006-06-01,194.2438862
2006-07-01,196.5396773
2006-08-01,192.9462652
2006-09-01,192.7466312
2006-10-01,192.3473632
2006-11-01,195.9407752
2006-12-01,195.5415072
2007-01-01,190.3510231
2007-02-01,190.2512061
2007-03-01,191.7484612
2007-04-01,187.4563301
2007-05-01,188.1550491
2007-06-01,185.559807
2007-07-01,183.763101
2007-08-01,181.7667609
2007-09-01,179.8702379
2007-10-01,179.1715189
2007-11-01,175.7777408
2007-12-01,171.6852437
2008-01-01,168.9901847
2008-02-01,166.6943936
2008-03-01,164.0991516
2008-04-01,162.0029945
2008-05-01,158.1101314
2008-06-01,152.8198303
2008-07-01,152.7200133
2008-08-01,150.2245883
2008-09-01,145.6330062
2008-10-01,144.4352021
2008-11-01,138.246548
2008-12-01,137.747463
2009-01-01,146.2319082
2009-02-01,142.7383131
2009-03-01,136.350025
2009-04-01,132.0578939
2009-05-01,129.1632008
2009-06-01,130.0615538
2009-07-01,126.5679587
2009-08-01,124.7712527
2009-09-01,125.6696057
2009-10-01,122.4754617
2009-11-01,123.8728997
2009-12-01,120.3793046
2010-01-01,123.3738147
2010-02-01,118.9818666
2010-03-01,126.7675927
2010-04-01,104.6082183
2010-05-01,101.7135252
2010-06-01,155.8143404
2010-07-01,80.65213775
2010-08-01,86.24188987
2010-09-01,85.34353685
2010-10-01,89.23639993
2010-11-01,87.8389619
2010-12-01,88.53768092
2011-01-01,86.64115788
2011-02-01,88.43786392
2011-03-01,90.63383796
2011-04-01,90.43420396
2011-05-01,92.330727
2011-06-01,85.64298786
2011-07-01,87.6393279
2011-08-01,83.0477458
2011-09-01,86.74097488
2011-10-01,80.85177175
2011-11-01,83.54683081
2011-12-01,83.0477458
2012-01-01,83.94609882
2012-02-01,80.75195475
2012-03-01,79.05506571
2012-04-01,79.45433372
2012-05-01,76.65945766
2012-06-01,81.55049077
2012-07-01,79.35451672
2012-08-01,82.24920978
2012-09-01,79.45433372
2012-10-01,84.44518383
2012-11-01,83.0477458
2012-12-01,84.54500083
2013-01-01,79.95341873
2013-02-01,80.85177175
2013-03-01,82.24920978
2013-04-01,80.45250374
2013-05-01,82.24920978
2013-06-01,85.04408584
2013-07-01,85.34353685
2013-08-01,85.84262186
2013-09-01,86.54134088
2013-10-01,85.54317085
2013-11-01,86.34170687
2013-12-01,87.8389619
2014-01-01,89.83530195
2014-02-01,93.02944602
2014-03-01,106.4049243
2014-04-01,103.8096822
2014-05-01,102.3124272
2014-06-01,97.62102812
2014-07-01,97.82066212
2014-08-01,97.1219431
2014-09-01,97.52121111
2014-10-01,97.32157711
2014-11-01,97.62102812
2014-12-01,95.32523707
2015-01-01,97.52121111
2015-02-01,95.52487107
2015-03-01,99.21810015
2015-04-01,100.1164532
2015-05-01,99.81700216
2015-06-01,99.11828315
2015-07-01,99.61736816
2015-08-01,100.7153552
2015-09-01,100.5157212
2015-10-01,101.9131592
2015-11-01,102.4122442
2015-12-01,103.5102312
2016-01-01,104.3087673
2016-02-01,104.7080353
2016-03-01,103.6100482
2016-04-01,105.4067543
2016-05-01,103.8096822
2016-06-01,103.8096822
2016-07-01,104.4085843
2016-08-01,103.8096822
2016-09-01,105.0074863
2016-10-01,104.0093163
2016-11-01,104.6082183
2016-12-01,105.1073033
2017-01-01,104.2089503
2017-02-01,104.2089503
2017-03-01,104.4085843
2017-04-01,99.91681916
2017-05-01,101.7135252
2017-06-01,103.7098652
2017-07-01,103.6100482
2017-08-01,104.7080353
2017-09-01,103.8096822
2017-10-01,105.6063883
2017-11-01,104.9076693
2017-12-01,105.5065713
2018-01-01,106.2052903
2018-02-01,107.4030943
2018-03-01,107.4030943
2018-04-01,106.3051073
2018-05-01,106.5047413
2018-06-01,105.4067543
2018-07-01,104.7080353
2018-08-01,105.4067543
2018-09-01,106.3051073
2018-10-01,104.2089503
2018-11-01,104.8078523
2018-12-01,105.8060223
2019-01-01,104.8078523
2019-02-01,105.5065713
2019-03-01,105.8060223
2019-04-01,105.1073033
2019-05-01,104.5084013
2019-06-01,103.0111462
2019-07-01,103.1109632
2019-08-01,101.6137082
2019-09-01,100.8151722
2019-10-01,103.1109632
2019-11-01,102.5120612
2019-12-01,98.51938113
2020-01-01,98.41956413
2020-02-01,97.42139411
2020-03-01,96.32340709
2020-04-01,75.76110464
2020-05-01,81.84994177
2020-06-01,89.33621694
2020-07-01,91.53219098
2020-08-01,90.73365497
2020-09-01,90.43420396
2020-10-01,89.43603394
2020-11-01,88.43786392
2020-12-01,91.13292297
2021-01-01,87.33987689
2021-02-01,86.34170687
2021-03-01,87.04042589
2021-04-01,86.64115788
2021-05-01,86.64115788
2021-06-01,83.94609882
2021-07-01,82.54866079
2021-08-01,83.1475628
2021-09-01,84.84445184
2021-10-01,83.74646481
2021-11-01,84.04591582
2021-12-01,82.8481118
2022-01-01,80.55232075
2022-02-01,80.25286974
2022-03-01,79.35451672
2022-04-01,79.45433372
2022-05-01,78.3563467
2022-06-01,78.2565297
2022-07-01,78.95524871
2022-08-01,79.15488272
2022-09-01,78.15671269
2022-10-01,78.4561637
2022-11-01,78.5559807
2022-12-01,78.95524871
2023-01-01,80.15305274
2023-02-01,81.15122276
2023-03-01,81.84994177
2023-04-01,82.04957578
2023-05-01,82.34902678
